,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
652,2020-08-25,124.6975,125.1793,123.0525,124.825,122.944168,211234408,52808602,0.1275,0.10225,124.19,"August 25, 20",0.0010225
651,2020-08-26,126.1791,126.9925,125.0825,126.5225,124.616096,162473268,40618317,0.3434,0.27215,126.08,"August 26, 20",0.0027215
650,2020-08-27,127.1425,127.485,123.8325,125.01,123.126396,155516384,38879096,-2.1325,-1.68,125.69,"August 27, 20",-0.0168
649,2020-08-28,126.0125,126.4425,124.5775,124.8075,122.926956,187529916,46882479,-1.205,-0.95625,125.33,"August 28, 20",-0.0095625
648,2020-08-31,127.58,131.0,126.0,129.04,127.095673,225631664,225702700,1.46,1.14,128.93,"August 31, 20",0.0114
647,2020-09-01,132.76,134.8,130.53,134.18,132.158188,152050116,151948100,1.42,1.07,132.85,"September 01, 20",0.0107
646,2020-09-02,137.59,137.98,127.0,131.4,129.42009,200117202,200119000,-6.19,-4.5,131.61,"September 02, 20",-0.045
645,2020-09-03,126.91,128.84,120.5,120.88,119.058624,257589206,257599600,-6.03,-4.75,123.53,"September 03, 20",-0.0475
644,2020-09-04,120.07,123.7,110.89,120.96,119.137428,332549990,332607200,0.89,0.74123,117.94,"September 04, 20",0.0074123
643,2020-09-08,113.95,118.99,112.68,112.82,111.120079,231349531,231366600,-1.13,-0.99166,115.4,"September 08, 20",-0.0099166
642,2020-09-09,117.26,119.14,115.26,117.32,115.552261,176833475,176940500,0.06,0.05116834,117.42,"September 09, 20",0.0005116834
641,2020-09-10,120.36,120.5,112.5,113.49,111.779976,182274291,182274400,-6.87,-5.71,116.05,"September 10, 20",-0.0571
640,2020-09-11,114.57,115.23,110.0,112.0,110.312431,180846525,180860300,-2.57,-2.24,112.04,"September 11, 20",-0.0224
639,2020-09-14,114.72,115.93,112.8,115.355,113.621796,140112337,140150100,0.635,0.55352,114.58,"September 14, 20",0.0055352
638,2020-09-15,118.33,118.829,113.61,115.54,113.799088,183786539,184642000,-2.79,-2.36,116.42,"September 15, 20",-0.0236
637,2020-09-16,115.23,116.0,112.04,112.13,110.44046,154719375,154679000,-3.1,-2.69,113.64,"September 16, 20",-0.0269
636,2020-09-17,109.72,112.2,108.71,110.34,108.677429,177056468,178011000,0.62,0.56507,110.14,"September 17, 20",0.0056507
635,2020-09-18,110.4,110.88,106.09,106.84,105.230171,287076882,287104900,-3.56,-3.22,107.78,"September 18, 20",-0.0322
634,2020-09-21,104.54,110.19,103.1,110.08,108.421371,195547704,195713800,5.54,5.3,106.94,"September 21, 20",0.053
633,2020-09-22,112.68,112.86,109.16,111.81,110.125282,183053939,183055400,-0.87,-0.7721,110.97,"September 22, 20",-0.007721
632,2020-09-23,111.62,112.11,106.77,107.12,105.505951,150718671,150718700,-4.5,-4.03,109.15,"September 23, 20",-0.0403
631,2020-09-24,105.17,110.25,105.0,108.22,106.589371,167743149,167743300,3.05,2.9,108.55,"September 24, 20",0.029
630,2020-09-25,108.43,112.44,107.67,112.28,110.588203,149981441,149981400,3.85,3.55,110.65,"September 25, 20",0.0355
629,2020-09-28,115.01,115.32,112.78,114.96,113.227814,137668917,137672400,-0.05,-0.04347448,114.04,"September 28, 20",-0.0004347448
628,2020-09-29,114.55,115.31,113.57,114.09,112.370926,100060326,99382200,-0.46,-0.40157,114.22,"September 29, 20",-0.0040157
627,2020-09-30,113.79,117.26,113.62,115.81,114.065002,142675133,142675200,2.02,1.78,115.94,"September 30, 20",0.0178
626,2020-10-01,117.64,117.72,115.83,116.79,115.030251,115886840,116120400,-0.85,-0.72254,116.59,"October 01, 20",-0.0072254
625,2020-10-02,112.89,115.37,112.22,113.02,111.317047,144707196,144712000,0.13,0.11516,113.87,"October 02, 20",0.0011516
624,2020-10-05,113.91,116.65,113.55,116.5,114.744637,105793839,106243800,2.59,2.27,115.46,"October 05, 20",0.0227
623,2020-10-06,115.7,116.12,112.25,113.16,111.454948,161498212,161498200,-2.54,-2.2,114.44,"October 06, 20",-0.022
622,2020-10-07,114.62,115.55,114.13,115.08,113.346016,96848985,96849000,0.46,0.40133,114.92,"October 07, 20",0.0040133
621,2020-10-08,116.25,116.4,114.5901,114.97,113.237679,83477028,83477200,-1.28,-1.1,115.27,"October 08, 20",-0.011
620,2020-10-09,115.28,117.0,114.92,116.97,115.207535,100506865,100506900,1.69,1.47,116.24,"October 09, 20",0.0147
619,2020-10-12,120.06,125.18,119.2845,124.4,122.525581,239983770,240226800,4.34,3.61,123.04,"October 12, 20",0.0361
